code	producer_product_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_id	product_name_it	product_name_nl	product_name_pl	product_name_pt	product_name_so	product_name_sv	generic_name_en	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pl	generic_name_pt	generic_name_sv	quantity	serving_size	packaging	packaging_tags	packaging_text_en	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_id	ingredients_text_it	ingredients_text_nl	ingredients_text_pl	ingredients_text_so	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-e_value	vitamin-e_unit	vitamin-c_value	vitamin-c_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_nl	preparation_es	preparation_fr	preparation_nl	customer_service_es	customer_service_fr	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
7613036232067		fr				"Cat Show Adult 1+ à l’agneau et aux haricots verts en gelée"															85 g	85 g	Plastique	en:plastic		Purina	purina		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture humide pour animaux	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:wet-pet-food	en:sans arômes artificiels ajoutés, en:sans colorants artificiels ajoutés, en:sans conservateurs artificiels ajoutés	en:sans-aromes-artificiels-ajoutes,en:sans-colorants-artificiels-ajoutes,en:sans-conservateurs-artificiels-ajoutes	France	en:france			0		en:inconnu	en:inconnu											"Viandes e sous-produits animaux (dont agneau* 4%), Extraits de protéines végétales, Poissons et sous-produits de poissons, Substances minérales, Légumes* (0,8% de haricots verts déshydratés, équivalent à 7% de haricots verts), Sucres Levures*. *Ingrédients Naturels. ADDITIFS: Additifs nutritionnels: UI/kg: Vit A: 580; Vit D,: 89; Vit E: 13; mg/kg: Tauige: 360; Sulfate ferreux monohydraté: 20; lodate de calcium anhydre: 0,26; Sulfate cuivrique pentahydraté: 2,3; sulfate manganeux monohydraté: 4,0; Sulfate de zinc monohydraté: 33. CONSTITUANTS ANALYTIQUES: Humidité: 82%, Protéine: 11,5%, Teneur en matières grasses: 2,5%, Cendres brutes: 2,5%, Cellulose brute: 0,1%."							Poisson	en:fish			on	100g	100g																																																																					unknown				-5	-10	1	0								App - Open Food Facts, Apps
3065890071582		fr				Whiskas séléction aux poissons en gelée															1,2kg		Carton	en:cardboard		Whiskas	whiskas		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture pour chats	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food			France	en:france			0														"viandes et sous-produits animaux (34%, dont 94% naturels*), poissons et sous-produits de poissons (100% naturels*, dont saumon 4% dans les bouchées**), légumes (dont 0.6% de carottes déshydratée s, équivalent à 4% de carottes), substance minérales (0.6%), extrait de protéines végétales, huiles et graisses (dont huile de tournesol 0.1%).  *ingrédients naturels,
** bouchées représentant environ 43% de la totalité du produit."							Poisson	en:fish			on	100g	100g																																																																					unknown				-5	-1	0	0								App - yuka, Apps, App - Open Food Facts
3564700519554		fr				plenima sticks dentaires															7 sticks		Plastique	en:plastic		marque repère leclerc	marque-repere-leclerc		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture sèche pour animaux	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:dry-pet-food			France	en:france			0																										100g	100g																																																																					unknown				-5	-10	1	0								App - Open Food Facts, Apps
8002754100571		fr				Alleva holistic																	Plastique	en:plastic					Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture sèche pour animaux, Nourriture pour chiens, Croquettes pour chien	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:dry-pet-food,en:dog-food,en:dry-dog-food	Fabriqué en Italie	en:made-in-italy	France	en:france			0														"CHICKEN & DUCK+ ALOEVERA & GINGENG ADULT MEDIUM Complete pet food for medium breed adult dogs. Composition Dehydrated chicken (35%), deboned fresh chicken (2096), dehydrated duck (10%). sweet potato, chicken fat, pea starch, herring oil, pea fiber, chicken liver, chicory root (sOUrce of inulinand F.OS), psyllium, dried inactivated brewers'yeast (sourceof MOS), hicken cartiage (source of glucosamine and chondroitin sultate), potassium carbonate, Aloe vera (010% ginseng root (Panax ginseng) (0,10%), rosemary, turmeric, doves, lemon (Rosmarinus officinalis, Curcuma longa, Eugenia caryophylkus, Citrus sp) (0,05%1, Yucca juice. Analytical compounds: Crude protein 36,00%; Crude fat 17,00% Crude fibre 2,50 Moisttre 9,00%; Crude ash 800%, Starch 23,00%; Calcium 1,70%; Phosphorus 1,20%; Sodium 045% Omega6 240%; Omega 31,20% DHA 0,40%; EPA 0,60%; Glucosamine 1300mg/kg Chondroitin sulfate 1.100mg/kg. Metabolizable Energy (CEN): 3.868 kcalkg 16,2 Mkg or which 34% from protein and 39% from fat Producer: Diusa Pet srl, SP 8 per Lardirago, 27010 Marzano PV) - soietà unipersonale Factory authorisation nr. CE 183/2005 - afT000225PV PROFESSIONAL USE-PROHIBITED RETAIL SALE LOT: 120252 SCAD: 08/03/22"											on	100g	100g																																																																					unknown				-5	-10	1	0								App - Open Food Facts, Apps
3257984434124		fr				"Terrine junior au bœuf"															400g		Conserve métallique	fr:conserve-metallique		Cora	cora		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture humide pour animaux	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:wet-pet-food			France	en:france			0														"Viande et sous produits animaux (dont bœuf 4%) - substances minérales. Conservateur émulsifiant : gomme de cassia 2000 mg / kg"												100g	100g																																																																					unknown				-5	-10	0	0								App - Open Food Facts, Apps
3250391906147		fr				Snack up															120		Plastique	en:plastic		Canaillou	canaillou		Non alimentaire, Open Pet Food Facts, Nourriture pour animaux, Nourriture sèche pour animaux, Nourriture pour chiens, Croquettes pour chien	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:dry-pet-food,en:dog-food,en:dry-dog-food			France	en:france			0																									off	100g	100g																																																																					unknown				-5	-10	1	0								App - Open Food Facts, Apps
4047459007248		en		Herrmann's creative mix, organic beef pure meat																	800 g		Can	en:can		Herrmann's	herrmann-s		Non food products, Open Pet Food Facts, Pet food, Wet pet food	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:wet-pet-food	"Organic, EU Organic, Biokreis, DE-ÖKO-006"	en:organic,en:eu-organic,en:biokreis,en:de-oko-006	Netherlands	en:netherlands			0												100% organic beef (65% muscle meat, 25% heart, 10% lung), cooked in their own juice													on	100g	100g																																																																					unknown				-5	-10	0	15								App - Open Food Facts, Apps
5998749125540		de	Pedigree Leckerbissen																		130g	7g	Kunststoff	en:plastic		Pedigree	pedigree		Non-Food-Produkte, en:Open Pet Food Facts, Tierfutter, Hundefutter	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:dog-food	Omega-3, Reich an Kalzium, Vitamin E-Quelle	en:omega-3,en:high-in-calcium,en:vitamin-e-source	Deutschland	en:germany			0											"Getreide, pflanzliche Nebenerzeugnisse, Fleisch und tierische Nebenerzeugnisse (u.a. 4% Huhn und 1% Ente), Õle und Fette, Mineralstoffe, Saaten, Kräuter. Analytische Bestandteile (%): Protein: 20.5; Fettgehalt: 11.03; anorganischer Stoff: 8.5: Rohfaser: 2.5; Feuchtigkeit: 14.5; Calcium 1.7: Omega-3-Fettsäuren: 570 ma/kg; Brennwert: 333 kcal/100g genes Zusatzstoffe pro kg: Antioxidanzien; Ernährungsphysiologische Zusatzstoffe: Vitamin A: 5000 IE, Vitamin E: 50.0 mg, Eisen (Eisen-(11)-sulfat-Monohydrat): 15.0 mg. Bei Fragen wenden Sie sich bitte an: DE Mars GmbH, Postfach 1280, 27281 Verden (Aller) 04231-943250, www.pedigree.de (zum Ortstarif) Mo., Do. 16.30-20.30 Uhr, Mi. 8.00-12.00 Uhr. AT Mars Austria OG, Handelskai 92, 1200 Wien 0810/820 820 www.pedigree.at"															serving	100g			12	kcal																			12	kcal																																													unknown				-5	-10	1	0								App - Open Food Facts, Apps
4047777150190		de	Hühnerbrust in Streifen																		4 x 250 g = XXL 1 kg		Papier, Kuntstoff	en:paper,de:kuntstoff		Premiere - MultiFit Tiernahrungs GmbH	premiere-multifit-tiernahrungs-gmbh		Fertiggerichte, Auf Fleisch basierende Lebensmittel, Non-Food-Produkte, Fleischgerichte, en:Open Pet Food Facts, Tierfutter, Geflügelgerichte, Hühnerfleischgerichte, Hundefutter	en:meals,en:meat-based-products,en:non-food-products,en:meals-with-meat,en:open-pet-food-facts,en:pet-food,en:poultry-meals,en:meals-with-chicken,en:dog-food			Deutschland	en:germany	Fressnapf	fressnapf	0											96,8 % Hühnerfleisch, Pflanzliche Nebenerzeugnisse, Mineralstoffe															100g	100g					2.5	g									59.8	g																																														https://www.fressnapf.de/p/premiere-huehnerbrust-in-streifen-xxl-4x250g-vorteilspack-1229819/	en:one-dish-meals	en:composite-foods,en:one-dish-meals					d	38		25190	-5	-1	0	0								App - Open Food Facts, Apps
7613034460981		de	Purina One Indoor Formular																		85g		Kunststoff	en:plastic		Purina	purina		Non-Food-Produkte, en:Open Pet Food Facts, Tierfutter, Katzenfutter	en:non-food-products,en:open-pet-food-facts,en:pet-food,en:cat-food			"Österreich"	en:austria			0																									off	100g	100g																																																																					unknown				-5	-10	1	0								App - Open Food Facts, Apps
